policy,unit,vars,clauses,result,conflicts,decisions,propagations,restarts,blocked,learnt,avg_lbd,avg_len,deleted,max_level,seconds,_cnf,_param_value
geometric,10,250,1065,UNSAT,101933,119625,4511843,21,0,101932,8.21,13.51,95258,26,7.6745,uuf250-01.cnf,10
geometric,10,250,1065,UNSAT,76402,89903,3343594,20,0,76401,7.97,13.51,70002,28,5.3707,uuf250-010.cnf,10
geometric,10,250,1065,UNSAT,145481,170187,6186485,21,0,145480,8.31,13.68,136904,31,12.0370,uuf250-0100.cnf,10
geometric,10,250,1065,UNSAT,123076,144509,5307245,21,0,123075,8.27,13.75,112207,31,9.8634,uuf250-011.cnf,10
geometric,10,250,1065,UNSAT,101679,119299,4419453,21,0,101678,8.10,13.38,95254,29,7.8343,uuf250-012.cnf,10
geometric,10,250,1065,UNSAT,104801,122952,4420433,21,0,104800,8.01,13.21,95257,28,8.1401,uuf250-013.cnf,10
geometric,10,250,1065,UNSAT,147253,171637,6340057,21,0,147252,8.37,14.13,136909,31,13.6273,uuf250-014.cnf,10
geometric,10,250,1065,UNSAT,96441,113586,4145503,20,0,96440,8.24,13.85,89903,38,7.1742,uuf250-015.cnf,10
geometric,10,250,1065,UNSAT,61991,72903,2661269,19,0,61990,7.79,13.01,56654,27,4.4637,uuf250-016.cnf,10
geometric,10,250,1065,UNSAT,94865,111311,4008681,20,0,94864,8.04,13.51,84709,27,7.1992,uuf250-017.cnf,10
geometric,10,250,1065,UNSAT,120595,140800,5252297,21,0,120594,8.32,13.48,112204,32,9.3431,uuf250-018.cnf,10
geometric,10,250,1065,UNSAT,94358,109561,4092912,20,0,94357,8.14,13.63,84705,27,7.1090,uuf250-019.cnf,10
geometric,10,250,1065,UNSAT,107370,125829,4595069,21,0,107369,8.25,13.75,100757,34,8.3724,uuf250-02.cnf,10
geometric,10,250,1065,UNSAT,131437,154051,5617944,21,0,131436,8.49,13.88,124255,28,10.8511,uuf250-020.cnf,10
geometric,10,250,1065,UNSAT,170252,199720,7387907,22,0,170251,8.27,13.87,157003,31,14.9727,uuf250-021.cnf,10
geometric,10,250,1065,UNSAT,149493,174632,6546449,21,0,149492,8.62,14.13,136903,32,12.7995,uuf250-022.cnf,10
geometric,10,250,1065,UNSAT,59765,69724,2574164,19,0,59764,8.10,13.29,52506,34,3.9999,uuf250-023.cnf,10
geometric,10,250,1065,UNSAT,77944,91631,3362169,20,0,77943,7.90,13.10,70005,40,5.4336,uuf250-024.cnf,10
geometric,10,250,1065,UNSAT,98345,115040,4319176,20,0,98344,8.38,13.67,89903,31,7.3998,uuf250-025.cnf,10
geometric,10,250,1065,UNSAT,51211,60372,2251056,19,0,51210,7.81,13.13,44653,30,3.2724,uuf250-026.cnf,10
geometric,10,250,1065,UNSAT,127365,148312,5537873,21,0,127364,8.30,13.98,118157,27,10.4476,uuf250-027.cnf,10
geometric,10,250,1065,UNSAT,107494,125954,4667071,21,0,107493,8.31,13.91,100757,29,8.5785,uuf250-028.cnf,10
geometric,10,250,1065,UNSAT,70079,81676,3003563,20,0,70078,7.99,13.51,65404,27,4.9825,uuf250-029.cnf,10
geometric,10,250,1065,UNSAT,94982,111104,4123734,20,0,94981,8.17,14.02,84709,35,7.4075,uuf250-03.cnf,10
geometric,10,250,1065,UNSAT,63464,74785,2661459,19,0,63463,7.88,13.01,56659,29,4.2461,uuf250-030.cnf,10
geometric,10,250,1065,UNSAT,151624,178197,6707614,22,0,151623,8.73,14.61,143456,37,13.0604,uuf250-031.cnf,10
geometric,10,250,1065,UNSAT,101846,118951,4361726,21,0,101845,8.07,13.35,95259,30,7.7692,uuf250-032.cnf,10
geometric,10,250,1065,UNSAT,146657,172537,6287668,21,0,146656,8.26,13.82,136906,30,12.5721,uuf250-033.cnf,10
geometric,10,250,1065,UNSAT,143446,168309,6222123,21,0,143445,8.42,14.22,136910,31,12.1956,uuf250-034.cnf,10
geometric,10,250,1065,UNSAT,160621,188446,6814432,22,0,160620,8.45,13.90,150156,29,13.9204,uuf250-035.cnf,10
geometric,10,250,1065,UNSAT,66738,78281,2871514,20,0,66737,8.23,13.66,60954,28,4.6925,uuf250-036.cnf,10
geometric,10,250,1065,UNSAT,61681,72082,2615589,19,0,61680,7.76,12.80,56654,33,4.1930,uuf250-037.cnf,10
geometric,10,250,1065,UNSAT,39889,46893,1726945,18,0,39888,7.64,12.65,34004,33,2.3727,uuf250-038.cnf,10
geometric,10,250,1065,UNSAT,82128,96346,3518344,20,0,82127,7.97,13.30,74753,28,5.9110,uuf250-039.cnf,10
geometric,10,250,1065,UNSAT,108361,127321,4588872,21,0,108360,8.39,14.10,100756,31,8.5379,uuf250-04.cnf,10
