policy,unit,vars,clauses,result,conflicts,decisions,propagations,restarts,blocked,learnt,avg_lbd,avg_len,deleted,max_level,seconds,_cnf,_param_value
luby,10,250,1065,UNSAT,214343,296676,9344297,4092,0,214342,9.67,14.36,201257,31,21.1399,uuf250-01.cnf,10
luby,10,250,1065,UNSAT,166142,227642,7130442,3069,0,166141,9.35,14.03,157010,30,14.7936,uuf250-010.cnf,10
luby,10,250,1065,UNSAT,293843,402352,12199367,5116,0,293842,9.54,14.09,277761,30,31.4964,uuf250-0100.cnf,10
luby,10,250,1065,UNSAT,245297,334692,10407442,4094,0,245296,9.51,14.21,233763,31,24.9616,uuf250-011.cnf,10
luby,10,250,1065,UNSAT,205081,284267,8746392,3976,0,205080,9.61,14.02,193506,31,19.4879,uuf250-012.cnf,10
luby,10,250,1065,UNSAT,214821,294613,8894262,4092,0,214820,9.35,13.79,201259,30,20.8772,uuf250-013.cnf,10
luby,10,250,1065,UNSAT,237832,321720,10170976,4094,0,237831,9.28,14.22,225411,35,24.6380,uuf250-014.cnf,10
luby,10,250,1065,UNSAT,253215,346228,10668093,4221,0,253214,9.74,14.46,242256,38,27.1074,uuf250-015.cnf,10
luby,10,250,1065,UNSAT,163370,223702,6776707,3069,0,163369,9.43,13.79,150165,29,15.1307,uuf250-016.cnf,10
luby,10,250,1065,UNSAT,232995,319049,9691977,4094,0,232994,9.42,14.11,217210,30,24.0337,uuf250-017.cnf,10
luby,10,250,1065,UNSAT,232527,318113,9955138,4094,0,232526,9.55,14.08,217211,30,22.8348,uuf250-018.cnf,10
luby,10,250,1065,UNSAT,214666,294481,9182971,4092,0,214665,9.54,14.40,201261,29,21.8902,uuf250-019.cnf,10
luby,10,250,1065,UNSAT,220882,306059,9311650,4093,0,220881,9.69,14.30,209162,34,22.2519,uuf250-02.cnf,10
luby,10,250,1065,UNSAT,323644,445976,13520072,5628,0,323643,9.88,14.53,305963,33,36.2376,uuf250-020.cnf,10
luby,10,250,1065,UNSAT,303682,413659,13114621,5211,0,303681,9.54,14.38,287007,31,32.9280,uuf250-021.cnf,10
luby,10,250,1065,UNSAT,321188,441969,13761048,5627,0,321187,9.88,14.59,305968,32,36.9089,uuf250-022.cnf,10
luby,10,250,1065,UNSAT,120190,165169,5040855,2232,0,120189,9.33,13.83,112208,34,10.2747,uuf250-023.cnf,10
luby,10,250,1065,UNSAT,109560,149676,4746496,2046,0,109559,9.01,13.67,100755,40,8.6456,uuf250-024.cnf,10
