policy,unit,vars,clauses,result,conflicts,decisions,propagations,restarts,blocked,learnt,avg_lbd,avg_len,deleted,max_level,seconds,_cnf,_param_value
fixed,10,250,1065,UNSAT,1030360,2287864,44064531,95357,0,1030359,11.19,14.91,1009275,35,109.1390,uuf250-01.cnf,10
fixed,10,250,1065,UNSAT,464078,1016207,19974172,42906,0,464077,10.68,14.51,443772,32,34.7719,uuf250-010.cnf,10
fixed,10,250,1065,UNSAT,1505522,3354073,61109199,139296,0,1505521,11.14,14.72,1470695,32,179.5088,uuf250-0100.cnf,10
fixed,10,250,1065,UNSAT,1061395,2353092,44638918,98231,0,1061394,10.92,14.75,1026769,32,109.8004,uuf250-011.cnf,10
fixed,10,250,1065,UNSAT,755440,1667072,31967928,69882,0,755439,10.98,14.57,734718,34,68.0953,uuf250-012.cnf,10
fixed,10,250,1065,UNSAT,606295,1327638,25249878,56141,0,606294,10.67,14.38,580172,32,51.9956,uuf250-013.cnf,10
fixed,10,250,1065,UNSAT,486819,1046780,21295172,45002,0,486818,10.32,14.40,467211,32,37.3705,uuf250-014.cnf,10
fixed,10,250,1065,UNSAT,1372896,3058702,56026851,126984,0,1372895,11.22,14.93,1347224,38,163.5670,uuf250-015.cnf,10
fixed,10,250,1065,UNSAT,514328,1136563,21366663,47615,0,514327,10.80,14.37,491264,32,42.1119,uuf250-016.cnf,10
fixed,10,250,1065,UNSAT,819832,1810811,33754188,75845,0,819831,10.73,14.42,795420,35,79.3692,uuf250-017.cnf,10
fixed,10,250,1065,UNSAT,1127015,2485305,47207185,104300,0,1127014,11.07,14.65,1098281,32,117.7823,uuf250-018.cnf,10
fixed,10,250,1065,UNSAT,1004635,2212749,41832990,92932,0,1004634,11.12,14.91,974734,35,107.7616,uuf250-019.cnf,10
fixed,10,250,1065,UNSAT,1243843,2817203,50702930,115240,0,1243842,11.38,14.94,1210023,34,140.2201,uuf250-02.cnf,10
