policy,unit,vars,clauses,result,conflicts,decisions,propagations,restarts,blocked,learnt,avg_lbd,avg_len,deleted,max_level,seconds,_cnf,_param_value
glucose,100,250,1065,UNSAT,142670,166103,6247012,0,0,142669,8.18,13.93,130500,28,6.9104,uuf250-01.cnf,0.0
glucose,100,250,1065,UNSAT,106707,124247,4617767,0,0,106706,8.40,14.42,100751,28,4.8984,uuf250-010.cnf,0.0
glucose,100,250,1065,UNSAT,175582,204636,7376193,0,0,175581,8.46,14.20,164012,31,9.2228,uuf250-0100.cnf,0.0
glucose,100,250,1065,UNSAT,193985,225927,8181828,0,0,193984,8.27,14.38,185912,29,10.3763,uuf250-011.cnf,0.0
glucose,100,250,1065,UNSAT,161363,188391,6892608,0,0,161362,8.09,13.42,150155,31,7.8742,uuf250-012.cnf,0.0
glucose,100,250,1065,UNSAT,135446,157633,5670677,0,0,135445,8.13,13.65,124253,29,6.5197,uuf250-013.cnf,0.0
glucose,100,250,1065,UNSAT,221660,256561,9452277,0,0,221659,8.62,14.65,209170,31,12.5153,uuf250-014.cnf,0.0
glucose,100,250,1065,UNSAT,200570,233003,8532870,0,0,200569,8.62,14.75,185909,38,10.7185,uuf250-015.cnf,0.0
glucose,100,250,1065,UNSAT,152619,177627,6306632,0,0,152618,8.40,14.18,143462,32,7.6567,uuf250-016.cnf,0.0
glucose,100,250,1065,UNSAT,102624,120418,4312153,0,0,102623,7.93,13.43,95254,27,4.5971,uuf250-017.cnf,0.0
glucose,100,250,1065,UNSAT,160756,186695,6906767,0,0,160755,8.41,13.98,150155,29,7.8108,uuf250-018.cnf,0.0
glucose,100,250,1065,UNSAT,177680,205289,7556437,0,0,177679,8.35,14.41,164012,30,9.3291,uuf250-019.cnf,0.0
glucose,100,250,1065,UNSAT,133941,156431,5678866,0,0,133940,8.07,13.73,124256,26,6.4015,uuf250-02.cnf,0.0
glucose,100,250,1065,UNSAT,160757,188573,6774386,0,0,160756,8.33,14.10,150159,28,7.9770,uuf250-020.cnf,0.0
glucose,100,250,1065,UNSAT,156890,183617,6833761,0,0,156889,8.10,14.13,150162,31,7.9341,uuf250-021.cnf,0.0
glucose,100,250,1065,UNSAT,276928,321440,11802580,0,0,276927,8.93,15.25,259707,32,16.6395,uuf250-022.cnf,0.0
glucose,100,250,1065,UNSAT,84079,98116,3521903,0,0,84078,7.90,13.15,74760,34,3.4903,uuf250-023.cnf,0.0
glucose,100,250,1065,UNSAT,95898,112103,4101503,0,0,95897,8.06,13.89,89907,40,4.1058,uuf250-024.cnf,0.0
glucose,100,250,1065,UNSAT,107952,126630,4726149,0,0,107951,7.81,13.31,100755,29,4.7401,uuf250-025.cnf,0.0
glucose,100,250,1065,UNSAT,91333,106783,3978130,0,0,91332,8.07,13.64,84706,25,3.8612,uuf250-026.cnf,0.0
glucose,100,250,1065,UNSAT,133985,156010,5839954,0,0,133984,8.15,14.39,124260,27,6.5203,uuf250-027.cnf,0.0
glucose,100,250,1065,UNSAT,140342,163526,6012776,0,0,140341,8.14,13.91,130506,29,6.7761,uuf250-028.cnf,0.0
glucose,100,250,1065,UNSAT,111063,128404,4736241,0,0,111062,8.13,14.14,100759,28,5.1553,uuf250-029.cnf,0.0
glucose,100,250,1065,UNSAT,194543,226140,8306519,0,0,194542,8.25,14.88,185907,31,10.5918,uuf250-03.cnf,0.0
glucose,100,250,1065,UNSAT,77225,90282,3188040,0,0,77224,8.15,13.63,70007,29,3.2212,uuf250-030.cnf,0.0
glucose,100,250,1065,UNSAT,148291,174219,6548062,0,0,148290,8.48,14.33,136910,37,7.1877,uuf250-031.cnf,0.0
glucose,100,250,1065,UNSAT,148885,172686,6277583,0,0,148884,8.18,13.96,136907,29,7.2952,uuf250-032.cnf,0.0
glucose,100,250,1065,UNSAT,170239,198627,7271956,0,0,170238,8.25,14.03,157005,28,8.9167,uuf250-033.cnf,0.0
glucose,100,250,1065,UNSAT,208835,243905,8966678,0,0,208834,8.45,14.27,193510,28,11.2159,uuf250-034.cnf,0.0
glucose,100,250,1065,UNSAT,158189,184638,6712561,0,0,158188,8.23,14.29,150155,30,7.9828,uuf250-035.cnf,0.0
glucose,100,250,1065,UNSAT,95416,111323,4020987,0,0,95415,7.95,14.01,89908,27,4.1967,uuf250-036.cnf,0.0
glucose,100,250,1065,UNSAT,87142,101097,3630772,0,0,87141,8.08,13.42,79658,33,3.6847,uuf250-037.cnf,0.0
glucose,100,250,1065,UNSAT,52945,61801,2288906,0,0,52944,7.61,12.74,48503,27,1.9436,uuf250-038.cnf,0.0
glucose,100,250,1065,UNSAT,155429,180400,6579652,0,0,155428,8.02,13.56,143454,27,7.6159,uuf250-039.cnf,0.0
glucose,100,250,1065,UNSAT,179350,208834,7416003,0,0,179349,8.47,14.50,171160,29,9.5121,uuf250-04.cnf,0.0
glucose,100,250,1065,UNSAT,63059,72637,2650060,0,0,63058,7.83,12.72,56654,29,2.4451,uuf250-040.cnf,0.0
glucose,100,250,1065,UNSAT,180646,211159,7787616,0,0,180645,8.51,15.07,171164,32,9.4115,uuf250-041.cnf,0.0
glucose,100,250,1065,UNSAT,171836,199438,7352895,0,0,171835,8.49,14.46,164007,28,8.9152,uuf250-042.cnf,0.0
glucose,100,250,1065,UNSAT,200626,232845,8494245,0,0,200625,8.41,14.22,185908,30,10.7040,uuf250-043.cnf,0.0
glucose,100,250,1065,UNSAT,126584,147459,5395923,0,0,126583,8.17,14.59,118156,33,6.1247,uuf250-044.cnf,0.0
glucose,100,250,1065,UNSAT,60385,70783,2647190,0,0,60384,7.58,12.53,52501,27,2.2700,uuf250-045.cnf,0.0
glucose,100,250,1065,UNSAT,224382,263063,9559702,0,0,224381,8.74,15.14,209157,28,12.6484,uuf250-046.cnf,0.0
glucose,100,250,1065,UNSAT,86429,101113,3724362,0,0,86428,7.99,13.39,79658,36,3.6976,uuf250-047.cnf,0.0
glucose,100,250,1065,UNSAT,54287,62893,2325689,0,0,54286,7.80,13.31,48507,34,2.0527,uuf250-048.cnf,0.0
glucose,100,250,1065,UNSAT,76646,89928,3471093,0,0,76645,7.90,13.56,70003,26,3.0819,uuf250-049.cnf,0.0
glucose,100,250,1065,UNSAT,133460,155506,5596351,0,0,133459,8.07,13.54,124254,31,6.2339,uuf250-05.cnf,0.0
glucose,100,250,1065,UNSAT,121430,141723,5162756,0,0,121429,8.22,14.21,112206,33,5.7428,uuf250-050.cnf,0.0
glucose,100,250,1065,UNSAT,219550,254916,9445469,0,0,219549,8.44,14.69,209161,30,12.1301,uuf250-051.cnf,0.0
glucose,100,250,1065,UNSAT,117986,137175,4979845,0,0,117985,7.91,13.34,106405,25,5.3428,uuf250-052.cnf,0.0
glucose,100,250,1065,UNSAT,163441,190791,6941212,0,0,163440,8.21,13.83,150162,38,8.1621,uuf250-053.cnf,0.0
